,TWI,Ln(TWI),,,TB (Bloomberg),TB 12 M Sum,,,Trade Balance ,Net non-treasury portfolio flows,Basic Balance 
2000-02,101.23,4.62,,2000-02,-30.535,-288.0,,Feb-00,-288.03,399.01,110.99
2000-03,101.66,4.62,,2000-03,-31.881,-301.4,,Mar-00,-301.36,409.43,108.07
2000-04,102.34,4.63,,2000-04,-29.222,-311.8,,Apr-00,-311.78,390.78,79.00
2000-05,105.32,4.66,,2000-05,-30.246,-321.0,,May-00,-321.02,403.66,82.64
2000-06,102.81,4.63,,2000-06,-31.434,-328.8,,Jun-00,-328.83,412.45,83.62
2000-07,103.64,4.64,,2000-07,-32.096,-336.8,,Jul-00,-336.77,396.77,60.00
2000-08,105.24,4.66,,2000-08,-30.52,-343.6,,Aug-00,-343.64,432.25,88.61
2000-09,106.79,4.67,,2000-09,-34.591,-354.6,,Sep-00,-354.57,448.59,94.02
2000-10,108.45,4.69,,2000-10,-34.057,-364.5,,Oct-00,-364.48,471.79,107.31
2000-11,109.32,4.69,,2000-11,-33.457,-372.2,,Nov-00,-372.19,486.54,114.35
2000-12,107.35,4.68,,2000-12,-34.216,-379.8,,Dec-00,-379.84,494.72,114.88
2001-01,99.90,4.60,,2001-01,-35.313,-387.6,,Jan-01,-387.57,512.37,124.80
2001-02,101.08,4.62,,2001-02,-29.566,-386.6,,Feb-01,-386.60,512.82,126.22
2001-03,103.23,4.64,,2001-03,-32.887,-387.6,,Mar-01,-387.61,513.74,126.14
2001-04,104.24,4.65,,2001-04,-31.546,-389.9,,Apr-01,-389.93,536.79,146.86
2001-05,104.41,4.65,,2001-05,-28.029,-387.7,,May-01,-387.71,548.24,160.53
2001-06,105.28,4.66,,2001-06,-29.594,-385.9,,Jun-01,-385.87,533.29,147.42
2001-07,105.25,4.66,,2001-07,-30.408,-384.2,,Jul-01,-384.18,557.35,173.16
2001-08,103.08,4.64,,2001-08,-28.638,-382.3,,Aug-01,-382.30,538.06,155.76
2001-09,102.57,4.63,,2001-09,-31.119,-378.8,,Sep-01,-378.83,508.43,129.60
2001-10,103.39,4.64,,2001-10,-31.141,-375.9,,Oct-01,-375.91,505.85,129.94
